iter,params,score,pred_mu,pred_std
0,"{'models__learning_rate': 0.1302171277662968, 'models__depth': np.int64(6), 'models__iterations': np.int64(72), 'models__l2_leaf_reg': np.int64(5)}",1.203498291879874,,
1,"{'models__learning_rate': 0.06021712776629678, 'models__depth': np.int64(9), 'models__iterations': np.int64(197), 'models__l2_leaf_reg': np.int64(10)}",1.3006560460526793,1.3006560459226135,1.0000000413701846e-05
2,"{'models__learning_rate': 0.09521712776629676, 'models__depth': np.int64(7), 'models__iterations': np.int64(259), 'models__l2_leaf_reg': np.int64(7)}",1.1971333773258308,1.1971333772061177,1.0000000413701846e-05
3,"{'models__learning_rate': 0.025217127766296775, 'models__depth': np.int64(4), 'models__iterations': np.int64(134), 'models__l2_leaf_reg': np.int64(3)}",1.2197074601718434,1.2197074600498725,1.0000000413701846e-05
4,"{'models__learning_rate': 0.04271712776629678, 'models__depth': np.int64(8), 'models__iterations': np.int64(228), 'models__l2_leaf_reg': np.int64(6)}",1.2285337020499376,1.2285337019270843,1.0000000413701846e-05
5,"{'models__learning_rate': 0.11271712776629676, 'models__depth': np.int64(5), 'models__iterations': np.int64(103), 'models__l2_leaf_reg': np.int64(2)}",1.1977317737294213,1.1977317736096482,1.0000000413701846e-05
6,"{'models__learning_rate': 0.07771712776629677, 'models__depth': np.int64(6), 'models__iterations': np.int64(166), 'models__l2_leaf_reg': np.int64(9)}",1.1816945526972338,1.1816945525790643,1.0000000413701846e-05
7,"{'models__learning_rate': 0.14771712776629678, 'models__depth': np.int64(10), 'models__iterations': np.int64(291), 'models__l2_leaf_reg': np.int64(4)}",1.3524285050871325,1.3524285049518896,1.0000000413701846e-05
8,"{'models__learning_rate': 0.016467127766296778, 'models__depth': np.int64(8), 'models__iterations': np.int64(150), 'models__l2_leaf_reg': np.int64(2)}",1.3465061778033267,1.3465061776686762,1.0000000413701846e-05
9,"{'models__learning_rate': 0.08646712776629677, 'models__depth': np.int64(4), 'models__iterations': np.int64(275), 'models__l2_leaf_reg': np.int64(7)}",1.1758343514903806,1.1758343513727973,1.0000000413701846e-05
10,"{'models__learning_rate': 0.019607274162239112, 'models__depth': np.int64(3), 'models__iterations': np.int64(53), 'models__l2_leaf_reg': np.int64(10)}",1.5244081256828874,1.5244081255304467,1.0000000413701846e-05
11,"{'models__learning_rate': 0.09048743783083239, 'models__depth': np.int64(5), 'models__iterations': np.int64(163), 'models__l2_leaf_reg': np.int64(5)}",1.1910770530148291,1.1910770528957217,9.999994862585412e-06
12,"{'models__learning_rate': 0.09686346543148183, 'models__depth': np.int64(4), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(6)}",1.165735493976018,1.1657354938594446,1.0000000413701846e-05
13,"{'models__learning_rate': 0.11570609777460125, 'models__depth': np.int64(3), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(1)}",1.2218647274258585,1.2218647273036727,9.999989311465896e-06
14,"{'models__learning_rate': 0.01, 'models__depth': np.int64(5), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(1)}",1.2205492955761585,1.2205492954685997,1.000001151592547e-05
15,"{'models__learning_rate': 0.12315554994726612, 'models__depth': np.int64(5), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(7)}",1.2081548714645507,1.2081548713744152,1.0000005964815199e-05
16,"{'models__learning_rate': 0.08250436251460505, 'models__depth': np.int64(8), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(10)}",1.23318727139431,1.2331872712710021,1.0000000413701846e-05
17,"{'models__learning_rate': 0.13944797998871475, 'models__depth': np.int64(7), 'models__iterations': np.int64(50), 'models__l2_leaf_reg': np.int64(10)}",1.2631573136232466,1.2631573134969316,1.0000000413701846e-05
18,"{'models__learning_rate': 0.01, 'models__depth': np.int64(4), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(10)}",1.2827225329192313,1.2827225327916252,1.0000005964815199e-05
19,"{'models__learning_rate': 0.15, 'models__depth': np.int64(3), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(5)}",1.2363396218339748,1.2363396217265943,1.0000000413701846e-05
20,"{'models__learning_rate': 0.07184039343596, 'models__depth': np.int64(4), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(5)}",1.1681134697247642,1.168113469681372,1.000001151592547e-05
21,"{'models__learning_rate': 0.01, 'models__depth': np.int64(6), 'models__iterations': np.int64(172), 'models__l2_leaf_reg': np.int64(7)}",1.4098030467609755,1.4098030466199953,1.0000000413701846e-05
22,"{'models__learning_rate': 0.04390719500292589, 'models__depth': np.int64(3), 'models__iterations': np.int64(232), 'models__l2_leaf_reg': np.int64(2)}",1.1385005514932374,1.138500551379387,1.0000000413701846e-05
23,"{'models__learning_rate': 0.05383539692468945, 'models__depth': np.int64(3), 'models__iterations': np.int64(220), 'models__l2_leaf_reg': np.int64(1)}",1.1534298661987143,1.1534298660833715,1.0000000413701846e-05
24,"{'models__learning_rate': 0.10740581620416868, 'models__depth': np.int64(3), 'models__iterations': np.int64(50), 'models__l2_leaf_reg': np.int64(10)}",1.2141348079945955,1.2141348078748968,9.999994862585412e-06
25,"{'models__learning_rate': 0.07708434487000725, 'models__depth': np.int64(3), 'models__iterations': np.int64(50), 'models__l2_leaf_reg': np.int64(1)}",1.235352542768115,1.2353525426445795,1.0000000413701846e-05
