iter,params,score,pred_mu,pred_std
0,"{'models__max_depth': np.int64(9), 'models__min_samples_leaf': np.int64(8)}",1.1704749674897645,,
1,"{'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(17)}",1.1853304572760206,1.1853304571574874,1.0000000413701846e-05
2,"{'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(13)}",1.1797155663302548,1.179715566212307,1.0000000413701846e-05
3,"{'models__max_depth': np.int64(4), 'models__min_samples_leaf': np.int64(3)}",1.1576621388038122,1.1576621386880461,1.0000000413701846e-05
4,"{'models__max_depth': np.int64(5), 'models__min_samples_leaf': np.int64(15)}",1.1832209906309623,1.18322099052377,1.0000005964815199e-05
5,"{'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(6)}",1.1698410285094474,1.1698410284013432,9.999994862585412e-06
6,"{'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(10)}",1.170120197669062,1.1701201975529931,1.000001151592547e-05
7,"{'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(20)}",1.1906843028514158,1.1906843027323475,1.0000000413701846e-05
8,"{'models__max_depth': np.int64(3), 'models__min_samples_leaf': np.int64(14)}",1.1968989669219583,1.1968989668103487,9.999994862585412e-06
9,"{'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(4)}",1.1579477861505716,1.1579477860437066,1.0000000413701846e-05
10,"{'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1)}",1.144479298026787,1.1444792979123526,1.0000000413701846e-05
11,"{'models__max_depth': np.int64(3), 'models__min_samples_leaf': np.int64(1)}",1.1783632671319813,1.1783632670228534,9.999994862585412e-06
12,"{'models__max_depth': np.int64(4), 'models__min_samples_leaf': np.int64(6)}",1.1674778653431652,1.167477865227781,9.999994862585412e-06
13,"{'models__max_depth': np.int64(5), 'models__min_samples_leaf': np.int64(1)}",1.1416210752631024,1.1416210751703169,1.0000005964815199e-05
14,"{'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(17)}",1.1853304572760206,1.185330457220794,7.071068104396856e-06
15,"{'models__max_depth': np.int64(4), 'models__min_samples_leaf': np.int64(6)}",1.1674778653431652,1.167477865285436,7.071068104396856e-06
16,"{'models__max_depth': np.int64(9), 'models__min_samples_leaf': np.int64(5)}",1.1652536613897748,1.1652536613085038,9.999994862585412e-06
17,"{'models__max_depth': np.int64(5), 'models__min_samples_leaf': np.int64(5)}",1.1596841617305111,1.1596841616642026,9.999989311465896e-06
18,"{'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(1)}",1.1416174343594898,1.1416174342729923,1.000001151592547e-05
19,"{'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(7)}",1.1699400602014467,1.1699400601268384,1.000001151592547e-05
20,"{'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(1)}",1.147213501211725,1.147213501121252,1.0000005964815199e-05
21,"{'models__max_depth': np.int64(5), 'models__min_samples_leaf': np.int64(11)}",1.1743816837866383,1.1743816837028669,1.000001706703266e-05
22,"{'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(9)}",1.172319048215086,1.172319048123702,9.999978209217621e-06
23,"{'models__max_depth': np.int64(3), 'models__min_samples_leaf': np.int64(20)}",1.206764781258551,1.2067647811378879,1.0000005964815199e-05
24,"{'models__max_depth': np.int64(5), 'models__min_samples_leaf': np.int64(17)}",1.185918039455715,1.185918039394899,1.000001151592547e-05
25,"{'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(20)}",1.1906866089431911,1.190686608838437,1.000001151592547e-05
26,"{'models__max_depth': np.int64(9), 'models__min_samples_leaf': np.int64(1)}",1.1500375156381202,1.1500375156461238,9.999994862585412e-06
27,"{'models__max_depth': np.int64(4), 'models__min_samples_leaf': np.int64(7)}",1.1672908722155995,1.1672908721240933,1.0000028169237795e-05
28,"{'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(10)}",1.1704506391709912,1.1704506391210519,9.999983760343299e-06
29,"{'models__max_depth': np.int64(9), 'models__min_samples_leaf': np.int64(7)}",1.1691597148038144,1.1691597148371293,1.0000005964815199e-05
