setting,model,tuner,pehe_mean,pehe_std,pehe_median,pehe_min,pehe_max,pehe_plug_mean,pehe_plug_std,pehe_plug_median,pehe_plug_min,pehe_plug_max,n_reps
1d,x_cb,bayes,0.1758,0.0392,0.1775,0.0991,0.2703,0.4429,0.0916,0.4251,0.3025,0.6451,20
1d,x_cb,grid,0.1302,0.0416,0.1171,0.0792,0.2464,0.3358,0.0746,0.3161,0.2003,0.4986,20
1d,x_cb,random,0.1352,0.0413,0.1272,0.0818,0.249,0.3565,0.0763,0.3378,0.2194,0.5268,20
1d,x_rf,bayes,0.1452,0.0367,0.1386,0.0855,0.2161,0.3598,0.1223,0.3442,0.1482,0.6163,20
1d,x_rf,grid,0.1448,0.0357,0.1366,0.0852,0.2161,0.3611,0.1215,0.3415,0.1487,0.6044,20
1d,x_rf,random,0.1453,0.0379,0.1386,0.0805,0.221,0.3593,0.1239,0.3429,0.1462,0.6166,20
2d,x_cb,bayes,0.1236,0.0394,0.1183,0.0626,0.2219,0.3359,0.0921,0.3173,0.2059,0.588,20
2d,x_cb,grid,0.1243,0.0412,0.1189,0.0605,0.2222,0.3321,0.093,0.3178,0.1958,0.588,20
2d,x_cb,random,0.1916,0.0526,0.1874,0.104,0.289,0.4315,0.1096,0.4158,0.254,0.6995,20
2d,x_rf,bayes,0.1389,0.0376,0.1387,0.0716,0.2129,0.3379,0.1198,0.3286,0.1118,0.557,20
2d,x_rf,grid,0.1405,0.036,0.1383,0.0708,0.216,0.3396,0.1171,0.3301,0.1319,0.562,20
2d,x_rf,random,0.139,0.0361,0.1315,0.0774,0.2073,0.3387,0.1192,0.3356,0.1298,0.5588,20
4d,x_cb,bayes,0.1311,0.0475,0.1217,0.0665,0.2454,0.3463,0.0961,0.3463,0.189,0.5259,20
4d,x_cb,random,0.1295,0.0441,0.1228,0.0622,0.2519,0.325,0.0931,0.303,0.1967,0.5854,20
4d,x_rf,bayes,0.1274,0.0365,0.1255,0.0698,0.2005,0.2872,0.1051,0.2758,0.101,0.5081,20
4d,x_rf,random,0.1292,0.0349,0.1229,0.0636,0.1878,0.2752,0.1215,0.2462,0.1101,0.5223,20
6d,x_cb,bayes,0.1446,0.0531,0.1395,0.0681,0.3209,0.3253,0.09,0.3186,0.1925,0.4853,20
6d,x_cb,random,0.1437,0.0478,0.1349,0.0651,0.2882,0.3687,0.0851,0.3832,0.2245,0.4982,20
6d,x_rf,bayes,0.1317,0.0433,0.1281,0.0772,0.2189,0.2507,0.0758,0.2419,0.1325,0.3664,20
6d,x_rf,random,0.1318,0.0396,0.124,0.0792,0.2096,0.2403,0.0968,0.2164,0.0966,0.4119,20
