iter	RMSE
0	1.208884951
1	1.205623057
2	1.204267193
3	1.203567678
4	1.199700168
5	1.196808732
6	1.194106082
7	1.190319214
8	1.189109514
9	1.186447577
10	1.183794805
11	1.182005317
12	1.179062111
13	1.175829496
14	1.173028263
15	1.171269267
16	1.168496485
17	1.165161649
18	1.161786432
19	1.159195528
20	1.156234953
21	1.153003321
22	1.150034676
23	1.146708273
24	1.143612827
25	1.140443441
26	1.137622875
27	1.134991989
28	1.132131942
29	1.128346655
30	1.125797857
31	1.123014682
32	1.120791129
33	1.11748819
34	1.114638808
35	1.112124609
36	1.109894164
37	1.107218022
38	1.104951287
39	1.102657302
40	1.101493764
41	1.098178454
42	1.096217764
43	1.095041373
44	1.09151339
45	1.089544673
46	1.087245513
47	1.08612832
48	1.083672862
49	1.080801473
50	1.078149892
51	1.075787603
52	1.073698946
53	1.071610558
54	1.069218116
55	1.067504924
56	1.065116297
57	1.063099749
58	1.060722823
59	1.058601907
60	1.056885711
61	1.05434788
62	1.052459891
63	1.051265205
64	1.049524847
65	1.047589329
66	1.045726733
67	1.043496454
68	1.041941533
69	1.040154877
70	1.039120733
71	1.037154803
72	1.035849579
73	1.033727847
74	1.032025605
75	1.030303893
76	1.028465851
77	1.027410183
78	1.026125871
79	1.024944276
80	1.023056358
81	1.020743571
82	1.019253374
83	1.017555963
84	1.015544636
85	1.01347152
86	1.011430146
87	1.010647859
88	1.008919895
89	1.006941962
90	1.006454238
91	1.004707457
92	1.003569826
93	1.002503901
94	1.000992445
95	0.9993437838
96	0.9974528549
97	0.9958416158
98	0.9933301484
99	0.9918004444
100	0.990384091
101	0.9885277424
102	0.9867332067
103	0.9858029556
104	0.9849422731
105	0.9828039066
106	0.9811367187
107	0.9799445862
108	0.9786443737
109	0.9778549638
110	0.9767072036
111	0.9754553546
112	0.9744479273
113	0.9734781274
114	0.9719474423
115	0.9703035621
116	0.9698981621
117	0.9690853834
118	0.9671018413
119	0.9655641019
120	0.963661908
121	0.9619651583
122	0.9609792489
123	0.9598197798
124	0.9577675789
125	0.9558285464
126	0.9537760904
127	0.951864468
128	0.9506764215
129	0.9491230378
130	0.9474213208
131	0.9460372516
132	0.944619019
133	0.9423687684
134	0.9409203345
135	0.9394222081
136	0.9387534155
137	0.9378028048
138	0.9361815364
139	0.9355932114
140	0.9334738078
141	0.9316822401
142	0.9298523497
143	0.9283989006
144	0.9263571165
145	0.9256339677
146	0.9245001213
147	0.9232588651
148	0.9218376369
149	0.9208970363
150	0.9195467001
151	0.9187580473
152	0.9174735087
153	0.9162159574
154	0.9143843979
155	0.9130101427
156	0.9121781098
157	0.9107164351
158	0.909741145
159	0.9080923933
160	0.906849401
161	0.9054903205
162	0.904267958
163	0.9029260157
164	0.9014934263
165	0.9002758111
166	0.8982772028
167	0.8967916967
168	0.8948459468
169	0.8930901925
170	0.8920682304
171	0.890345341
172	0.8889540476
173	0.8875390957
174	0.8858348862
175	0.8849699389
176	0.8838232749
177	0.8825036998
178	0.8810868187
179	0.8793527521
180	0.8778728549
181	0.8768220792
182	0.8750507776
183	0.8733164855
184	0.8722555444
185	0.8711681155
186	0.8696259025
187	0.8679818388
188	0.8667254541
189	0.8652916463
190	0.8641562683
191	0.8632109927
192	0.8619906075
193	0.8614801593
194	0.8606234535
195	0.8594992238
196	0.8584238977
197	0.8575999866
198	0.8560489135
199	0.8543955316
200	0.8527981086
201	0.8515168571
202	0.850206339
203	0.8494259129
204	0.8481177205
205	0.8472317162
206	0.8459183623
207	0.8448338411
208	0.8437501571
209	0.8424518326
210	0.8413527445
211	0.8409260829
212	0.8399874624
213	0.8381094246
214	0.8370608124
215	0.8359155543
216	0.8341511836
217	0.8337034461
218	0.83261746
219	0.8314869953
220	0.8304034242
221	0.8289350566
222	0.828084962
223	0.8269626718
224	0.8261989234
225	0.8245667318
226	0.8239177091
227	0.8230726549
228	0.8213255348
229	0.8199908452
230	0.8193432632
231	0.8184111195
232	0.8170083516
233	0.8159178199
234	0.8146337589
235	0.8139403449
236	0.8127840112
237	0.8114104504
238	0.8106819574
239	0.809122057
240	0.8086009982
241	0.8078407015
242	0.80669299
243	0.8053635517
244	0.8042313739
245	0.802912333
246	0.8025078408
247	0.8021082424
248	0.8010850122
249	0.7996522637
250	0.7991788301
251	0.7978864579
252	0.7965894854
253	0.7961341663
254	0.7950156542
255	0.7939879746
256	0.7928387842
257	0.7921265033
258	0.7910068632
259	0.7902593328
260	0.7892318438
261	0.7883448063
262	0.7869846685
263	0.7857122059
264	0.7847100138
265	0.782309809
266	0.781644039
267	0.7803051541
268	0.7795828177
269	0.7788366224
270	0.7780921826
271	0.7773400906
272	0.7757706539
273	0.7750532683
274	0.7746550944
275	0.7737444804
276	0.7726341969
277	0.771623293
278	0.7709398796
279	0.7697664533
280	0.769013612
281	0.7678819801
282	0.7667968161
283	0.7663059541
284	0.7654532617
285	0.7639995541
286	0.7632127528
287	0.7613043292
288	0.7600184965
289	0.7590375609
290	0.7584472967
291	0.7569504895
292	0.7563874741
293	0.7555258232
294	0.7546794657
295	0.7544067225
296	0.7532273123
297	0.7524234497
298	0.7520763163
299	0.7507807622
300	0.7500832089
301	0.748983238
302	0.7478960503
303	0.7468890384
304	0.7452851306
305	0.7445564152
306	0.7436009687
307	0.7426159201
308	0.7415444902
309	0.7406376626
310	0.7396574196
311	0.7384798274
312	0.7377946405
313	0.7371158478
314	0.7365430125
315	0.7359992379
316	0.7346920594
317	0.733614129
318	0.7331695947
319	0.731899647
320	0.730589658
321	0.729225001
322	0.7287099255
323	0.727662507
324	0.7269912251
325	0.725976369
326	0.7249913529
327	0.7240980809
328	0.7228418938
329	0.7217009821
330	0.7209574047
331	0.7200525139
332	0.719245362
333	0.7184052333
334	0.7172456914
335	0.7166676921
336	0.7154280632
337	0.7145872094
338	0.7137476546
339	0.7127016785
340	0.712280563
341	0.7108408873
342	0.7095335377
343	0.7087181694
344	0.7081350964
345	0.7076449036
346	0.7065681576
347	0.7058425427
348	0.7048033386
349	0.7039833695
350	0.7032172716
351	0.7028803173
352	0.7018463514
353	0.7009917767
354	0.700557472
355	0.6996092979
356	0.6988405276
357	0.6983736074
358	0.6975511184
359	0.6960775273
360	0.6947800986
361	0.694065287
362	0.6929929482
363	0.6923516989
364	0.6917219585
365	0.6909069588
366	0.6904156674
367	0.6899316477
368	0.6893630255
369	0.6881982189
370	0.6874500601
371	0.6867918049
372	0.6855756026
373	0.6848739917
374	0.6843025866
375	0.6832105246
376	0.6819036143
377	0.6815652616
378	0.6802833189
379	0.67991059
380	0.6793354457
381	0.6786291929
382	0.6779731464
383	0.6772670472
384	0.6763340472
385	0.675451567
386	0.6743857443
387	0.6739118002
388	0.6733939101
389	0.6721561087
390	0.6712931746
391	0.6706352831
392	0.669807567
393	0.6690280638
394	0.6680277977
395	0.6674935527
396	0.6668624841
397	0.6656952028
398	0.6650642377
399	0.6643230943
400	0.6634540096
401	0.6627021681
402	0.6618227569
403	0.6611609399
404	0.6601755333
405	0.6593274023
406	0.6582074261
407	0.6573227175
408	0.6571088783
409	0.6561731144
410	0.6555428009
411	0.6549072879
412	0.6542784814
413	0.6538806457
414	0.6530213579
415	0.6520593366
416	0.6510616151
417	0.6501092431
418	0.6495709281
419	0.6481023573
420	0.6468082069
421	0.6464464284
422	0.6454643024
423	0.6448492823
424	0.6441670283
425	0.6436990618
426	0.6432876674
427	0.6422708963
428	0.6416452189
429	0.6409627972
430	0.6403942644
431	0.6386268818
432	0.6376673246
433	0.636809275
434	0.6359729766
435	0.6353283121
436	0.634094114
437	0.6336765681
438	0.6327831465
439	0.6319946884
440	0.6311889722
441	0.6301891562
442	0.6295216061
443	0.6286877706
444	0.6278914459
445	0.627267277
446	0.6263286298
447	0.6253709734
448	0.6244445829
449	0.6240369928
450	0.6231439945
451	0.6222029795
452	0.6215486925
453	0.6207129222
454	0.6200625815
455	0.6192136312
456	0.6185988841
457	0.6175457497
458	0.6170149207
459	0.616380745
460	0.6157134356
461	0.6148100733
462	0.614263563
463	0.6132895795
464	0.6124400019
465	0.6114184388
466	0.6108003033
467	0.609925151
468	0.6093131145
469	0.6085789494
470	0.6075073213
471	0.6065071924
472	0.6059705511
473	0.6050602561
474	0.604156829
475	0.6033719277
476	0.6026124007
477	0.6017300745
478	0.601146854
479	0.6000835583
480	0.5994945055
481	0.5986034416
482	0.5974505616
483	0.5965474935
484	0.595615186
485	0.5951227232
486	0.5940083352
487	0.5932446952
488	0.5922599789
489	0.5915448227
490	0.591145043
491	0.5902780567
492	0.589427934
493	0.588933905
494	0.5881177305
495	0.5874214071
496	0.5862549198
497	0.5854693794
498	0.5840796894
499	0.5831818342
500	0.5827485127
501	0.5823270918
502	0.5818791684
503	0.5813694528
504	0.5806562173
505	0.5796082193
506	0.5794010868
507	0.5783939432
508	0.5775715095
509	0.5766911701
510	0.5764044279
511	0.5761118185
512	0.575640463
513	0.5751956257
514	0.574654001
515	0.5743432355
516	0.5734024125
517	0.572902073
518	0.5724611619
519	0.5718599109
520	0.5712528462
521	0.5707884692
522	0.5701888655
523	0.5694813791
524	0.5685931987
525	0.5681237177
526	0.567820229
527	0.5672029493
528	0.5666376562
529	0.5658107757
530	0.5651759324
531	0.5644497428
532	0.5638297504
533	0.5627555109
534	0.5622946805
535	0.5613966734
536	0.5608180777
537	0.560261779
538	0.559737975
539	0.5589607736
540	0.5579453366
541	0.5568293225
542	0.556294515
543	0.5558939213
544	0.554989617
545	0.5542012791
546	0.5535129902
547	0.5526020202
548	0.5521398561
549	0.5514170894
550	0.5507505808
551	0.5500091212
552	0.5496496024
553	0.5485713699
554	0.5479640734
555	0.5471942697
556	0.546514837
557	0.5459938943
558	0.5453403886
559	0.5448309419
560	0.5439875824
561	0.5427586449
562	0.5423046144
563	0.5414517809
564	0.5407127578
565	0.5403213428
566	0.5397339547
567	0.5389010076
568	0.5383392127
569	0.5375817992
570	0.5372960781
571	0.5367498583
572	0.5363344088
573	0.5357575312
574	0.5347680502
575	0.5342995342
576	0.533702599
577	0.5325036012
578	0.5320027766
579	0.5312183976
580	0.5307115702
581	0.5298943052
582	0.5291431269
583	0.5287704224
584	0.5281976301
585	0.5278551937
586	0.52737632
587	0.52642914
588	0.5257017127
589	0.525109171
590	0.5245633427
591	0.5239823145
592	0.5232399119
593	0.5227410994
594	0.5217468698
595	0.5212397519
596	0.5209478998
597	0.5200469998
598	0.5194674474
599	0.518983143
600	0.5183079373
601	0.5180159561
602	0.5175836129
603	0.5170325475
604	0.5161939876
605	0.5157347365
606	0.5153557651
607	0.5144868779
608	0.5139788155
609	0.5133568055
610	0.5127015076
611	0.5119987581
612	0.5113160716
613	0.5106679383
614	0.5100414776
615	0.5093648212
616	0.5086959158
617	0.5081684302
