iter	Passed	Remaining
0	0	76
1	0	62
2	0	60
3	0	57
4	1	56
5	1	56
6	1	56
7	1	58
8	2	63
9	2	64
10	2	64
11	3	65
12	3	64
13	3	64
14	3	64
15	4	65
16	4	65
17	4	64
18	5	65
19	5	64
20	5	63
21	5	64
22	6	63
23	6	62
24	6	62
25	6	62
26	7	62
27	7	61
28	7	61
29	7	60
30	7	59
31	8	58
32	8	59
33	8	58
34	8	58
35	9	58
36	9	57
37	9	57
38	9	56
39	10	56
40	10	55
41	10	55
42	10	55
43	11	55
44	11	55
45	11	54
46	11	54
47	12	53
48	12	53
49	12	53
50	12	53
51	13	53
52	13	52
53	13	52
54	13	52
55	14	51
56	14	51
57	14	51
58	14	50
59	14	50
60	15	50
61	15	50
62	15	49
63	15	49
64	16	49
65	16	48
66	16	48
67	16	48
