iter,params,score,pred_mu,pred_std
0,{'models__learning_rate': 0.1302171277662968},1.1585095562825265,,
1,{'models__learning_rate': 0.06021712776629678},1.1286021182308217,1.128602118784678,1.0000005964815199e-05
2,{'models__learning_rate': 0.09521712776629676},1.1622956152886033,1.1622932114369178,9.99932870624019e-06
3,{'models__learning_rate': 0.025217127766296775},1.1210392579942567,1.1205507777631283,9.961406753930376e-06
4,{'models__learning_rate': 0.04271712776629678},1.125834847126996,1.1225365735590458,7.0430177201564115e-06
5,{'models__learning_rate': 0.11271712776629676},1.1642753465252118,1.1651173308491707,6.844857761341457e-06
6,{'models__learning_rate': 0.07771712776629677},1.1445498967773438,1.1461157463490963,5.77809698360306e-06
7,{'models__learning_rate': 0.14771712776629678},1.1691243590170037,1.1654430031776428,9.422990551287632e-06
8,{'models__learning_rate': 0.016467127766296778},1.1144170274683862,1.1158960163593292,8.398083460988749e-06
9,{'models__learning_rate': 0.08646712776629677},1.1356198247589617,1.14699324965477,4.6638254098809425e-06
10,{'models__learning_rate': 0.01},1.1062902485819952,1.110272228717804,7.729172126066123e-06
11,{'models__learning_rate': 0.010021302288598575},1.1016780846741119,1.1070678904652596,6.110702586342278e-06
12,{'models__learning_rate': 0.010025082962520917},1.1042867930131324,1.1063134372234344,5.213415668518658e-06
13,{'models__learning_rate': 0.010007610812975742},1.1006947826208042,1.1051027923822403,4.626576589345029e-06
14,{'models__learning_rate': 0.010011714109484314},1.1049482642246373,1.1050777425989509,4.1981360657694874e-06
15,{'models__learning_rate': 0.010016078182507616},1.105064212407423,1.1050781607627869,3.870029799213216e-06
16,{'models__learning_rate': 0.01000540619067289},1.1045860508882195,1.1050078999251127,3.6111112605034444e-06
17,{'models__learning_rate': 0.010000127439419445},1.1052966684526166,1.1050381525419652,3.397366716827616e-06
18,{'models__learning_rate': 0.051508219714945146},1.1422309066617442,1.1330391615629196,4.981502983991289e-06
19,{'models__learning_rate': 0.03411012089213524},1.1304637300805849,1.1243422254920006,4.39233053668736e-06
20,{'models__learning_rate': 0.06772707349988609},1.141629502879936,1.1417472553439438,3.816777622238292e-06
21,{'models__learning_rate': 0.011535144887454477},1.1058200351125007,1.1063237637281418,2.998689774826498e-06
22,{'models__learning_rate': 0.12166002161665063},1.1565177765506611,1.1590351611375809,4.800938152833828e-06
23,{'models__learning_rate': 0.13900694505691705},1.1735363912933658,1.167559377849102,5.233978514287273e-06
24,{'models__learning_rate': 0.020595463040600913},1.120273229755475,1.1150131896138191,2.95715787129509e-06
25,{'models__learning_rate': 0.104107890347145},1.1578722989003998,1.154413916170597,4.278501989554814e-06
26,{'models__learning_rate': 0.01316236512015254},1.1151582758146252,1.1087141335010529,2.672152574775006e-06
27,{'models__learning_rate': 0.010002137115891093},1.1036072575001696,1.1054871454834938,2.9487925920903097e-06
28,{'models__learning_rate': 0.02921726048433486},1.1226386630791316,1.1219518464058638,3.4326078949316054e-06
29,{'models__learning_rate': 0.038708772971467374},1.1301998666114423,1.128487966954708,3.6489441914103098e-06
30,{'models__learning_rate': 0.04643074050692921},1.131572911810953,1.1327096987515688,3.4991880017631897e-06
31,{'models__learning_rate': 0.08239930734289655},1.1606724519021145,1.1488827168941498,3.4065534143609795e-06
32,{'models__learning_rate': 0.010029549884621155},1.105818928110047,1.1054803947918117,2.8172062998896366e-06
33,{'models__learning_rate': 0.010004989663279083},1.1008569212240655,1.1051165461540222,2.715325230342705e-06
34,{'models__learning_rate': 0.010003771582784737},1.1028043449222782,1.104956604540348,2.620613971138499e-06
35,{'models__learning_rate': 0.01000474108652951},1.1021495011122262,1.1047771349549294,2.534906077535316e-06
36,{'models__learning_rate': 0.010004326677342872},1.1034781908147033,1.1046981438994408,2.4572462110513827e-06
37,{'models__learning_rate': 0.010002516480254235},1.1016281451849184,1.10452164337039,2.3864664405187282e-06
38,{'models__learning_rate': 0.010013639151715867},1.1073573544389737,1.1046855337917805,2.319824145763105e-06
39,{'models__learning_rate': 0.010014308135953305},1.1063804501041552,1.1047727428376675,2.259701032694034e-06
40,{'models__learning_rate': 0.010003787286208122},1.1028043401461327,1.1046663708984852,2.2055228768010233e-06
41,{'models__learning_rate': 0.010010524266197399},1.1085396918334591,1.1048527881503105,2.1528697268768123e-06
42,{'models__learning_rate': 0.010000466307292802},1.1045860833823138,1.104830957017839,2.105945848418262e-06
43,{'models__learning_rate': 0.010021912355872577},1.1012275008564878,1.1046997383236885,2.058195076458922e-06
44,{'models__learning_rate': 0.010030028812535079},1.1066544261028177,1.1047874353826046,2.0149378597742747e-06
45,{'models__learning_rate': 0.010001780732858961},1.1049970496357104,1.1047669220715761,1.978490419542985e-06
46,{'models__learning_rate': 0.010002470808624294},1.1028361245486862,1.104694940149784,1.940758262469416e-06
47,{'models__learning_rate': 0.010016257907086004},1.1035011802138774,1.104665920138359,1.9036780182009342e-06
48,{'models__learning_rate': 0.07277117088164047},1.1454898873810395,1.1455349627067335,3.042884980256622e-06
49,{'models__learning_rate': 0.05639147978988141},1.1313239770861523,1.137949749827385,3.0432680577666925e-06
