iter,params,score,pred_mu,pred_std
0,"{'models__max_features': 0.8728243927833366, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(3), 'models__min_samples_split': np.int64(10)}",1.1846981456980703,,
1,"{'models__max_features': 0.4228243927833365, 'models__max_depth': np.int64(9), 'models__min_samples_leaf': np.int64(12), 'models__min_samples_split': np.int64(19)}",1.2431375678226575,1.2431375676983436,1.0000000413701846e-05
2,"{'models__max_features': 0.6478243927833365, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(17), 'models__min_samples_split': np.int64(15)}",1.2478894148812791,1.24788941475649,1.0000000413701846e-05
3,"{'models__max_features': 0.19782439278333644, 'models__max_depth': np.int64(4), 'models__min_samples_leaf': np.int64(7), 'models__min_samples_split': np.int64(6)}",1.3887273810619487,1.3887273809230765,9.999983760343299e-06
4,"{'models__max_features': 0.31032439278333646, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(15), 'models__min_samples_split': np.int64(13)}",1.293926373872303,1.2939263737442057,1.0000000413701846e-05
5,"{'models__max_features': 0.7603243927833364, 'models__max_depth': np.int64(5), 'models__min_samples_leaf': np.int64(5), 'models__min_samples_split': np.int64(4)}",1.1887966097284657,1.1887966096108924,1.0000005964815199e-05
6,"{'models__max_features': 0.5353243927833364, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(10), 'models__min_samples_split': np.int64(17)}",1.2089864050007988,1.208986404879925,1.0000005964815199e-05
7,"{'models__max_features': 0.9853243927833365, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(19), 'models__min_samples_split': np.int64(8)}",1.2631762382753398,1.263176238149022,1.0000000413701846e-05
8,"{'models__max_features': 0.14157439278333644, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(9), 'models__min_samples_split': np.int64(5)}",1.3290652720582095,1.3290652719253069,1.0000000413701846e-05
9,"{'models__max_features': 0.5915743927833365, 'models__max_depth': np.int64(4), 'models__min_samples_leaf': np.int64(18), 'models__min_samples_split': np.int64(14)}",1.2664410661802652,1.2664410660541232,9.999994862585412e-06
10,"{'models__max_features': 0.6844409272873105, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(13)}",1.1787623887215193,1.1787623886036431,9.999994862585412e-06
11,"{'models__max_features': 0.7238304404990049, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1791301145094237,1.1791301143915105,1.0000000413701846e-05
12,"{'models__max_features': 0.8344492793478386, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1786213228398823,1.178621322723308,9.999994862585412e-06
13,"{'models__max_features': 1.0, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(2)}",1.1905055635523236,1.190505563433273,1.0000000413701846e-05
14,"{'models__max_features': 1.0, 'models__max_depth': np.int64(3), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.2506089438180004,1.250608943692977,9.999989311465896e-06
15,"{'models__max_features': 0.7488065053616773, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(5), 'models__min_samples_split': np.int64(17)}",1.1904987560612692,1.1904987559422198,9.999989311465896e-06
16,"{'models__max_features': 0.5997149437955677, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(2)}",1.1807217091612925,1.1807217090564555,1.000001151592547e-05
17,"{'models__max_features': 0.6223774218888488, 'models__max_depth': np.int64(4), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(2)}",1.2062070426690692,1.206207042548487,1.0000005964815199e-05
18,"{'models__max_features': 0.500033857289613, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1862416145232875,1.1862416144559407,1.000001151592547e-05
19,"{'models__max_features': 0.8836009476242568, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(2)}",1.186583122518206,1.1865831224700418,9.999994862585412e-06
20,"{'models__max_features': 0.5978226894089257, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1873125673845129,1.1873125673103908,9.999989311465896e-06
21,"{'models__max_features': 1.0, 'models__max_depth': np.int64(3), 'models__min_samples_leaf': np.int64(20), 'models__min_samples_split': np.int64(20)}",1.2881636176169466,1.2881636174881301,1.0000000413701846e-05
22,"{'models__max_features': 0.7766937482416818, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(2)}",1.1812795791273387,1.1812795790363448,1.0000005964815199e-05
23,"{'models__max_features': 1.0, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(8), 'models__min_samples_split': np.int64(19)}",1.2028629679875464,1.2028629678685636,1.0000005964815199e-05
24,"{'models__max_features': 0.647356449055165, 'models__max_depth': np.int64(9), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.187074478447502,1.1870744783884466,9.999994862585412e-06
25,"{'models__max_features': 0.24442880630081049, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(9)}",1.227373332222826,1.2273733321001272,1.0000000413701846e-05
26,"{'models__max_features': 0.7699616321019017, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(2)}",1.200923515466153,1.2009235153995501,9.999994862585412e-06
27,"{'models__max_features': 0.7163113151669245, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1791301145094237,1.1791301153571485,9.999989311465896e-06
28,"{'models__max_features': 1.0, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1851077996561392,1.1851077978661841,1.0000000413701846e-05
29,"{'models__max_features': 0.9619490239200817, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(19)}",1.1858143154409235,1.1858143153561156,1.0000000413701846e-05
30,"{'models__max_features': 0.7275259033836868, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1822940338272794,1.1822940338395491,9.999994862585412e-06
31,"{'models__max_features': 0.6683159425916594, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(10)}",1.1735232964856452,1.1735232963778859,1.0000005964815199e-05
32,"{'models__max_features': 0.4928716458157686, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(4)}",1.1956880030587056,1.1956880029525354,9.999994862585412e-06
33,"{'models__max_features': 1.0, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(2)}",1.1832861257119152,1.1832861256349687,1.0000005964815199e-05
34,"{'models__max_features': 0.6061134723082042, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(5)}",1.180349296314855,1.1803492961981097,1.0000005964815199e-05
35,"{'models__max_features': 1.0, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(10), 'models__min_samples_split': np.int64(2)}",1.2100327436996527,1.2100327435787332,1.0000000413701846e-05
36,"{'models__max_features': 0.5822847315054952, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(10)}",1.1786148717475629,1.1786148716026612,1.0000000413701846e-05
37,"{'models__max_features': 0.706473904057838, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(11)}",1.1757940829111322,1.1757940828308215,1.0000000413701846e-05
38,"{'models__max_features': 0.7417783312376621, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(11)}",1.1764871316596064,1.176487131623912,1.000001151592547e-05
39,"{'models__max_features': 0.9566065231035148, 'models__max_depth': np.int64(3), 'models__min_samples_leaf': np.int64(4), 'models__min_samples_split': np.int64(2)}",1.2424380451165595,1.2424380449942818,9.999994862585412e-06
40,"{'models__max_features': 0.6566737925732135, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(6), 'models__min_samples_split': np.int64(3)}",1.1929459136627936,1.1929459135491085,1.0000022618136768e-05
41,"{'models__max_features': 1.0, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(6)}",1.1856961283523404,1.1856961282438823,9.999994862585412e-06
42,"{'models__max_features': 0.6637504272498334, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(7)}",1.1991503188174835,1.1991503187349115,9.999983760343299e-06
43,"{'models__max_features': 0.8096176543872372, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1876363787943855,1.1876363662549352,1.0000000413701846e-05
44,"{'models__max_features': 0.7051745462847652, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1822940338272794,1.182291119795991,9.953083352392523e-06
45,"{'models__max_features': 0.4339555234899344, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1922082048797622,1.1922082048136586,1.0000000413701846e-05
46,"{'models__max_features': 0.9979236485611985, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(10)}",1.1866140518704793,1.1866140506060532,9.999989311465896e-06
47,"{'models__max_features': 0.6041125459315091, 'models__max_depth': np.int64(9), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.187074478447502,1.1870744784904232,1.0000005964815199e-05
48,"{'models__max_features': 0.5073826739067394, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(3)}",1.18664456535656,1.1866445652954032,1.000001706703266e-05
49,"{'models__max_features': 0.8374105026119154, 'models__max_depth': np.int64(8), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(18)}",1.183049099338272,1.183049099224914,9.999989311465896e-06
50,"{'models__max_features': 0.6575945393968694, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1909640364988316,1.1909637931098587,9.999900493134558e-06
51,"{'models__max_features': 0.8330267263401349, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1753217485983345,1.1753267304738984,9.999428632521133e-06
52,"{'models__max_features': 0.8405647641832724, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1753217485983345,1.1752312097232789,9.641609781898523e-06
53,"{'models__max_features': 0.8457403385041078, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1753217485983345,1.1752623685169965,8.793503363137618e-06
54,"{'models__max_features': 0.8497739347641718, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1753217485983345,1.1752778323134407,7.997392269616286e-06
55,"{'models__max_features': 0.8530959649790462, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1753217485983345,1.1752854672376998,7.347624934260371e-06
56,"{'models__max_features': 0.8559266164812521, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1753217485983345,1.1752892574295402,6.820346287870358e-06
57,"{'models__max_features': 0.8583858893881471, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.1753217485983345,1.1752910393406637,6.383778152317657e-06
58,"{'models__max_features': 0.83838343535952, 'models__max_depth': np.int64(5), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(17)}",1.1899794551607477,1.1899794550431733,9.999989311465896e-06
59,"{'models__max_features': 0.10506546381137002, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(20), 'models__min_samples_split': np.int64(16)}",1.5834808923868355,1.5834808922284958,9.999994862585412e-06
60,"{'models__max_features': 0.9765259631635665, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(8), 'models__min_samples_split': np.int64(19)}",1.2003136909688592,1.2003136908501806,1.0000000413701846e-05
61,"{'models__max_features': 0.3829802445003605, 'models__max_depth': np.int64(7), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(3)}",1.1928559419068943,1.1928559418602769,9.999989311465896e-06
62,"{'models__max_features': 0.7480937917874373, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(7), 'models__min_samples_split': np.int64(19)}",1.1895587296133583,1.1895587295399672,1.0000005964815199e-05
63,"{'models__max_features': 0.8529855710060176, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(3)}",1.1892169868346063,1.1892169868000853,1.0000000413701846e-05
64,"{'models__max_features': 0.7862142657421433, 'models__max_depth': np.int64(5), 'models__min_samples_leaf': np.int64(9), 'models__min_samples_split': np.int64(19)}",1.202395804737882,1.2023958046319378,1.0000005964815199e-05
65,"{'models__max_features': 0.9966697998161391, 'models__max_depth': np.int64(6), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(18)}",1.185323350507901,1.1853233504688365,1.0000005964815199e-05
66,"{'models__max_features': 0.9095283295075995, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(19)}",1.1866839711548185,1.1866839710806607,1.0000000413701846e-05
67,"{'models__max_features': 0.6102054137703575, 'models__max_depth': np.int64(10), 'models__min_samples_leaf': np.int64(6), 'models__min_samples_split': np.int64(20)}",1.194705499335179,1.1947054992316364,1.0000000413701846e-05
68,"{'models__max_features': 0.9964648470746947, 'models__max_depth': np.int64(9), 'models__min_samples_leaf': np.int64(1), 'models__min_samples_split': np.int64(20)}",1.184484325921778,1.1844843260872633,9.999994862585412e-06
