dimension,tuner,pehe_mean,pehe_var,pehe_plug_mean,pehe_plug_var
1d,bayes,0.1734858987302734,0.0014065783050674,0.4485359648964584,0.0080709328390955
,grid,0.1292514037545738,0.0016304781161529,0.339262023823774,0.005094014009845
,random,0.1338635097438836,0.0015764755548118,0.3610015192924459,0.0053227980188068
2d,bayes,0.1219176632090475,0.0016396565523794,0.3361989789926349,0.0073008398669305
,grid,0.1231488916996607,0.0018663532234789,0.3310726567454495,0.0073925620601854
,random,0.1919551789342062,0.0027167268620604,0.4351532050296784,0.0105200126732181
4d,bayes,0.1323356752673949,0.0023965112063778,0.3460312835886312,0.0096528383610423
,random,0.1279544705528222,0.0018840284562976,0.3251619487159713,0.0071196086725917
6d,bayes,0.1381952032722961,0.0023605238317318,0.3108954950545622,0.0070497309520089
,random,0.136672765322122,0.0020428117505673,0.3676880527962295,0.006802470370086
