dimension,tuner,pehe_mean,pehe_var,pehe_plug_mean,pehe_plug_var
1d,bayes,0.1447035733933063,0.001676279935959,0.3694808416990027,0.0166559857322508
,grid,0.1438949962944896,0.0015913855254459,0.3692272181697228,0.0161893367998958
,random,0.1435921610581208,0.0018343122590674,0.3654992990601627,0.0171908511564799
2d,bayes,0.137215985848024,0.0017631412462975,0.3455431821644583,0.0157980706600156
,grid,0.1399298760379352,0.0016809806785222,0.34803647052842,0.0156120471934277
,random,0.1374888750070687,0.00154501939209,0.3469390700829738,0.0162328211054313
4d,bayes,0.1264800614845194,0.0016084728363359,0.2944672829887714,0.0119940971043254
,random,0.1288897695626747,0.0014824320760241,0.2933798948696839,0.0175149730558271
6d,bayes,0.1309511626566543,0.0021667902851068,0.2495585187228391,0.0055117517186037
,random,0.1320819748992577,0.0018989835126071,0.2498716938045349,0.0104443099642529
