dimension,tuner,pehe_mean,pehe_std,pehe_plug_mean,pehe_plug_std
1d,bayes,0.1450574209063163,0.0424225884838716,0.3705264135282362,0.131207722227007
,grid,0.1441785914396349,0.0413659675615606,0.3699121917692957,0.1293148105491309
,random,0.1436626679709742,0.0444786021469343,0.3656019425144872,0.1334601487021364
2d,bayes,0.1376399636434617,0.0435735578033766,0.3469677726834501,0.1284578585807449
,grid,0.1404301765660839,0.0427859042613999,0.3492174274014483,0.1283104196003157
,random,0.1380034715981023,0.0411041288475078,0.3475662391815432,0.1300991384315653
4d,bayes,0.1270035537474907,0.0416164330591883,0.2954052448466089,0.1117060220086673
,random,0.1291131063170293,0.0400916479689756,0.2975992695858508,0.136038349280488
6d,bayes,0.1322317430222285,0.0479555458520658,0.2482909475534672,0.0744191263158048
,random,0.1339485190454734,0.0449541774583933,0.253647573935978,0.1037611925888537
